Location,Deploy Date,Label,Time,Absorbance,Phosphorus
Conley Run,6/29/21,Medium 3,40,0.619,97.1851
Conley Run,6/29/21,Medium 3,60,0.557,87.26336
Conley Run,6/29/21,Low 1,5,0.758,119.429
Conley Run,6/29/21,Low 1,10,0.71,111.7477
Conley Run,6/29/21,Low 1,20,0.691,108.7071
Conley Run,6/29/21,Low 1,40,0.59,92.54429
Conley Run,6/29/21,Low 1,60,0.533,83.42268
Conley Run,6/29/21,Low 2,5,0.756,119.109
Conley Run,6/29/21,Low 2,10,0.706,111.1076
Conley Run,6/29/21,Low  2,20,0.678,106.6268
Conley Run,6/29/21,Low 2,40,0.529,82.78257
Conley Run,6/29/21,Low 2,60,0.554,86.78327
Conley Run,6/29/21,Low 3,5,0.822,129.6708
Conley Run,6/29/21,Low 3,10,0.805,126.9503
Conley Run,6/29/21,Low  3,20,0.742,116.8686
Conley Run,6/29/21,Low 3,40,0.592,92.86434
Conley Run,6/29/21,Low 3,60,0.57,89.34372
Conley Run,6/29/21,Control 1,5,0.821,129.5108
Conley Run,6/29/21,Control 1,10,0.748,117.8287
Conley Run,6/29/21,Control 1,20,0.663,104.2263
Conley Run,6/29/21,Control 1,40,0.608,95.42479
Conley Run,6/29/21,Control 1,60,0.559,87.58341
Conley Run,6/29/21,Control 2,5,0.886,139.9126
Conley Run,6/29/21,Control 2,10,0.805,126.9503
Conley Run,6/29/21,Control 2,20,0.751,118.3088
Conley Run,6/29/21,Control 2,40,0.674,105.9867
Conley Run,6/29/21,Control 2,60,0.645,101.3458
Conley Run,6/29/21,Control 3,5,0.659,103.5862
Conley Run,6/29/21,Control 3,10,0.644,101.1858
Conley Run,6/29/21,Control 3,20,0.604,94.78468
Conley Run,6/29/21,Control 3,40,0.548,85.8231
Conley Run,6/29/21,Control 3,60,0.518,81.02226
